Sample ID	Sample type	median LOH VAF	LOH gene count	Copy neutral gene count	snp_TC	mut_TC
VIC-101-Progression			33.0	31.0	0.0	0.0
VIC-107-Baseline			28.0		0.0	0.0
VIC-107-Progression			28.0		0.0	0.0
VIC-107-Progression2			29.0	27.0	0.0	0.0
VIC-108-Progression			32.0	30.0	0.0	0.0
VIC-113-Baseline			34.0		0.0	0.0
VIC-113-Progression			34.0	32.0	0.0	0.0
VIC-113-Progression2			34.0		0.0	0.0
VIC-125-Progression			33.0	32.0	0.0	0.0
VIC-127-Baseline			31.0		0.0	0.0
VIC-130-Baseline			37.0		0.0	0.0
VIC-130-Progression			38.0		0.0	0.0
VIC-133-Baseline			30.0		0.0	0.0
VIC-135-Baseline			36.0		0.0	0.0
VIC-135-Progression			37.0		0.0	0.0
VIC-145-Baseline			27.0	25.0	0.0	0.0
VIC-150-Baseline			37.0		0.0	0.0
VIC-150-Progression			38.0	37.0	0.0	0.0
VIC-150-Progression2			38.0	36.0	0.0	0.0
VIC-153-Progression2			31.0		0.0	0.0
VIC-155-Baseline			32.0	31.0	0.0	0.0
VIC-155-Progression			31.0		0.0	0.0
VIC-155-Progression2			36.0		0.0	0.0
VPC-016-Baseline			31.0		0.0	0.0
VPC-021-Baseline			31.0	30.0	0.0	0.0
VPC-021-Progression			31.0	30.0	0.0	0.0
VPC-021-Progression2			32.0	31.0	0.0	0.0
VPC-023-Baseline			36.0	35.0	0.0	0.0
VPC-023-Progression			36.0		0.0	0.0
VPC-023-Progression2			37.0	36.0	0.0	0.0
VPC-024-Baseline			22.0		0.0	0.0
VPC-044-Progression			46.0	45.0	0.0	0.0
VPC-044-Progression2			46.0		0.0	0.0
VPC-060-Progression			31.0	29.0	0.0	0.0
VPC-060-Progression2			31.0		0.0	0.0
VPC-064-Baseline			34.0		0.0	0.0
VPC-079-Baseline			38.0	36.0	0.0	0.0
VPC-084-Baseline			34.0		0.0	0.0
VPC-084-Progression			36.0	34.0	0.0	0.0
VPC-170-Baseline			41.0		0.0	0.0
VPC-170-Progression			41.0	39.0	0.0	0.0
VPC-184-Baseline			37.0		0.0	0.0
VPC-187-Progression			44.0		0.0	0.0
AC-042-Progression			33.0		0.0	0.015
VIC-130-Progression2			38.0	36.0	0.0	0.015
AC-097-Progression2			27.0		0.0	0.02
AC-140-Baseline			31.0		0.0	0.02
AC-161-Baseline			32.0		0.0	0.02
CSI-009-Baseline			36.0	35.0	0.0	0.02
CSI-015-Progression			18.0		0.0	0.02
CSI-077-Progression2			39.0		0.0	0.02
CSI-202-Baseline			38.0	37.0	0.0	0.02
FVC-051-Progression			7.0		0.0	0.02
FVC-118-Progression2-UMI			34.0	32.0	0.0	0.02
FVC-167-Progression2			38.0		0.0	0.02
VCC-031-Progression2			29.0		0.0	0.02
VCC-043-Progression2			32.0	30.0	0.0	0.02
VCC-196-Baseline			33.0		0.0	0.02
VIC-131-Progression			41.0	39.0	0.0	0.02
VIC-153-Progression			30.0	29.0	0.0	0.02
VCC-022-Baseline			27.0		0.0	0.025
VCC-165-Progression2			37.0		0.0	0.025
AC-076-Progression-UMI			33.0		0.0	0.03
AC-080-Progression2			32.0	31.0	0.0	0.03
AC-121-Progression			37.0		0.0	0.03
CSI-020-Progression			29.0	28.0	0.0	0.03
CSI-096-Baseline			27.0		0.0	0.03
CSI-104-Baseline			31.0		0.0	0.03
CSI-192-Baseline			31.0		0.0	0.03
FVC-120-Baseline			33.0		0.0	0.03
FVC-148-Progression2			36.0		0.0	0.03
VCC-069-Baseline			39.0	37.0	0.0	0.03
VCC-069-Progression2			40.0	39.0	0.0	0.03
VCC-082-Progression			27.0	25.0	0.0	0.03
VCC-144-Progression2			29.0	28.0	0.0	0.03
VCC-174-Baseline			44.0		0.0	0.03
VIC-057-Progression2			3.0		0.0	0.03
VIC-127-Progression			31.0		0.0	0.03
VIC-127-Progression-UMI			31.0		0.0	0.03
VPC-079-Progression			41.0	40.0	0.0	0.03
AC-053-Baseline			33.0		0.0	0.035
AC-054-Progression2			34.0	33.0	0.0	0.039
CSI-008-Baseline			33.0	31.0	0.0	0.039
CSI-075-Progression			37.0	36.0	0.0	0.039
CSI-081-Baseline			37.0	35.0	0.0	0.039
CSI-083-Baseline			33.0	32.0	0.0	0.039
VCC-006-Progression			32.0	31.0	0.0	0.039
VCC-068-Progression			26.0		0.0	0.039
VCC-100-Progression			30.0	29.0	0.0	0.039
VCC-122-Baseline			30.0	29.0	0.0	0.039
VCC-122-Progression2			31.0	30.0	0.0	0.039
VIC-049-Baseline			10.0		0.0	0.039
VIC-057-Progression			3.0		0.0	0.039
VIC-108-Baseline			31.0	30.0	0.0	0.039
FVC-118-Progression2			33.0	31.0	0.0	0.049
FVC-167-Baseline			39.0	38.0	0.0	0.049
FVC-183-Baseline-UMI			34.0		0.0	0.049
VCC-006-Baseline			32.0		0.0	0.049
VIC-125-Baseline			33.0		0.0	0.049
VIC-127-Baseline-UMI			31.0		0.0	0.049
VPC-187-Baseline			43.0		0.0	0.05
AC-054-Progression2-UMI			36.0		0.0	0.057999999999999996
AC-076-Progression2-UMI			33.0		0.0	0.057999999999999996
AC-194-Baseline			36.0		0.0	0.057999999999999996
CSI-077-Progression			38.0		0.0	0.057999999999999996
FVC-012-Baseline			33.0	31.0	0.0	0.057999999999999996
VCC-056-Baseline			1.0		0.0	0.057999999999999996
VCC-082-Progression2			27.0	26.0	0.0	0.057999999999999996
VCC-141-Progression2			35.0	34.0	0.0	0.057999999999999996
VCC-165-Progression			38.0	37.0	0.0	0.057999999999999996
VCC-198-Progression			31.0	30.0	0.0	0.057999999999999996
CSI-110-Progression			39.0	38.0	0.0	0.068
FVC-142-Baseline			30.0		0.0	0.068
VCC-031-Baseline			27.0	26.0	0.0	0.068
VCC-176-Progression2			32.0	31.0	0.0	0.068
CSI-074-Baseline			32.0		0.0	0.077
CSI-158-Baseline			29.0		0.0	0.077
CSI-195-Baseline			32.0		0.0	0.077
FVC-183-Baseline			32.0		0.0	0.077
VCC-004-Baseline			36.0	34.0	0.0	0.077
VCC-043-Progression			32.0	31.0	0.0	0.077
VCC-056-Progression			1.0		0.0	0.077
VCC-176-Baseline			32.0		0.0	0.077
VCC-176-Progression			32.0	31.0	0.0	0.077
VCC-201-Progression			30.0	28.0	0.0	0.077
VPC-124-Progression			30.0	29.0	0.0	0.077
CSI-067-Progression			34.0	33.0	0.0	0.086
CSI-189-Baseline			35.0	34.0	0.0	0.086
VCC-056-Progression2			1.0		0.0	0.086
VCC-163-Baseline			36.0	34.0	0.0	0.086
VIC-153-Baseline			30.0		0.0	0.086
AC-128-Baseline			38.0	36.0	0.0	0.095
CSI-067-Progression2			34.0		0.0	0.095
FVC-051-Progression2			7.0	5.0	0.0	0.095
VCC-003-Baseline			14.0	12.0	0.0	0.095
VCC-068-Baseline			17.0	15.0	0.0	0.095
VCC-086-Baseline			29.0		0.0	0.095
VCC-090-Progression			31.0		0.0	0.095
VIC-034-Progression			29.0	28.0	0.0	0.095
AC-042-Baseline			30.0	29.0	0.0	0.10400000000000001
CSI-104-Progression			31.0	29.0	0.0	0.10400000000000001
AC-039-Progression			38.0		0.0	0.113
VCC-086-Progression			28.0		0.0	0.113
CSI-026-Progression			25.0		0.0	0.131
CSI-020-Progression2			29.0	28.0	0.0	0.14
CSI-075-Baseline			37.0	35.0	0.0	0.14
VCC-090-Progression2			34.0	32.0	0.0	0.14
AC-197-Baseline			30.0		0.0	0.14800000000000002
FVC-190-Baseline			31.0		0.0	0.14800000000000002
AC-039-Baseline			37.0	35.0	0.0	0.157
VCC-126-Baseline			34.0	33.0	0.0	0.157
AC-162-Progression			25.0	24.0	0.0	0.165
FVC-118-Baseline-UMI			34.0	32.0	0.0	0.165
FVC-027-Baseline			23.0	21.0	0.0	0.174
VIC-127-Progression2-UMI			31.0	29.0	0.0	0.182
VCC-094-Progression			35.0	33.0	0.0	0.198
VCC-100-Progression2-UMI			30.0		0.0	0.2
CSI-029-Progression2			11.0	10.0	0.0	0.20600000000000002
FVC-183-Progression-UMI			34.0		0.0	0.20600000000000002
AC-076-Baseline-UMI			33.0	31.0	0.0	0.214
CSI-154-Baseline			31.0	30.0	0.0	0.23
FVC-051-Baseline			7.0	6.0	0.0	0.28300000000000003
CSI-026-Progression2			25.0		0.0	0.305
AC-098-Progression			34.0	33.0	0.0	0.381
VCC-072-Baseline			32.0	30.0	0.0	0.431
VCC-180-Progression2-UMI			33.0	31.0	0.0	0.6709999999999999
VIC-145-Progression		0.5238359788837144	27.0	22.0	0.09100550494644688	0.0
VCC-103-Baseline		0.5255834343655051	28.0	25.0	0.09735251414987989	0.0
VCC-061-Progression		0.527493766282588	21.0	18.0	0.10424299978498364	0.0
AC-054-Baseline		0.5310470453731359	34.0	31.0	0.11692766448336389	0.039
VCC-086-Progression2		0.5321293784182279	30.0	27.0	0.12075776952489847	0.19
VIC-145-Progression2		0.5325760262566884	27.0	23.0	0.12233380644508252	0.057999999999999996
AC-098-Baseline		0.5332833017536007	34.0	31.0	0.12482409122563909	0.425
AC-076-Progression2		0.5392934186915038	33.0	29.0	0.14572185504077573	0.039
VPC-064-Progression		0.5397760593705744	38.0	35.0	0.1473798575541001	0.0
VIC-131-Baseline		0.5402015671702324	41.0	38.0	0.14883913566124019	0.03
VCC-025-Progression		0.5412118244670929	34.0	30.0	0.15229461960729473	0.0
AC-089-Baseline		0.5415003832209413	31.0	27.0	0.15327923860031123	0.03
VCC-163-Progression2		0.5438785781410397	37.0	34.0	0.16135431658667398	0.20600000000000002
VIC-087-Baseline		0.5443870453309589	34.0	31.0	0.16307164438115507	0.165
FVC-159-Baseline		0.54609970482882	31.0	28.0	0.1688325572095679	0.113
FVC-118-Baseline		0.5461178694369668	31.0	26.0	0.1688934642791058	0.086
VPC-060-Baseline		0.5473120603403346	30.0	27.0	0.1728887914909627	0.0
VCC-175-Progression		0.5483286958163376	37.0	33.0	0.17627636921094236	0.077
VIC-065-Progression2		0.5492614226581657	33.0	29.0	0.1793733207031496	0.077
FVC-118-Progression-UMI		0.5497349148114029	34.0	31.0	0.18094144458139594	0.0
VCC-078-Progression		0.5500622959096938	36.0	33.0	0.18202409538687148	0.057999999999999996
VCC-004-Progression		0.5511764060468333	39.0	32.0	0.18569882703754503	0.131
